area_type,availability,location,size,society,total_sqft,bath,balcony,price
Built-up  Area,Ready To Move,Electronic City,5 Bedroom,Society E,1201,1,0,4995.4
Carpet  Area,Under Construction,Marathahalli,3 Bedroom,Society D,1566,1,0,8525.52
Plot  Area,Under Construction,Electronic City,5 BHK,Society B,1836,3,2,8658.96
Carpet  Area,Immediate Possession,Electronic City,1 Bedroom,Society A,967,4,1,4080.37
Carpet  Area,Immediate Possession,Jayanagar,3 BHK,Society B,1712,4,1,13668.44
Carpet  Area,Ready To Move,Whitefield,4 Bedroom,Society C,1833,5,2,10469.15
Super built-up  Area,Ready To Move,Indira Nagar,3 BHK,Society D,1211,3,1,7682.11
Built-up  Area,Under Construction,Electronic City,2 BHK,Society E,1483,5,2,6522.42
Built-up  Area,Under Construction,Indira Nagar,1 BHK,Society A,762,4,3,4639.05
Plot  Area,Under Construction,Koramangala,2 BHK,Society D,1509,1,0,15563.93
Built-up  Area,Ready To Move,Koramangala,2 Bedroom,Society C,1409,4,1,12353.06
Carpet  Area,Ready To Move,Jayanagar,4 Bedroom,Society B,1425,3,0,12026.29
Carpet  Area,Immediate Possession,HSR Layout,4 BHK,Society C,1864,2,3,12289.25
Carpet  Area,Ready To Move,Electronic City,2 Bedroom,Society A,1458,3,3,5899.13
Plot  Area,Under Construction,Jayanagar,5 BHK,Society A,1242,1,3,7974.26
Built-up  Area,Under Construction,HSR Layout,4 BHK,Society C,1073,5,3,7119.28
Carpet  Area,Immediate Possession,Indira Nagar,4 Bedroom,Society A,1217,1,3,7252.93
Super built-up  Area,Ready To Move,Indira Nagar,3 Bedroom,Society C,926,3,1,6526.38
Carpet  Area,Ready To Move,Marathahalli,2 BHK,Society E,783,1,3,4632.27
Built-up  Area,Under Construction,BTM Layout,5 Bedroom,Society E,1928,3,2,11576.12
Super built-up  Area,Ready To Move,Whitefield,4 BHK,Society A,1212,1,3,8201.22
Plot  Area,Immediate Possession,Electronic City,3 BHK,Society C,999,1,1,3798.54
Super built-up  Area,Ready To Move,Koramangala,5 Bedroom,Society C,1560,1,1,13416.38
Plot  Area,Immediate Possession,Koramangala,1 Bedroom,Society E,1594,1,2,10661.27
Plot  Area,Immediate Possession,Electronic City,1 Bedroom,Society C,1444,4,2,7233.13
Built-up  Area,Under Construction,HSR Layout,3 Bedroom,Society B,1099,4,2,9084.63
Built-up  Area,Immediate Possession,HSR Layout,4 BHK,Society C,1696,2,2,8974.07
Plot  Area,Ready To Move,Marathahalli,3 Bedroom,Society A,1549,5,0,8418.14
Plot  Area,Immediate Possession,Koramangala,4 BHK,Society B,993,3,2,7739.68
Plot  Area,Under Construction,Koramangala,5 Bedroom,Society B,1110,2,3,9800.07
Plot  Area,Ready To Move,BTM Layout,1 Bedroom,Society A,703,3,2,4707.32
Plot  Area,Immediate Possession,Koramangala,1 Bedroom,Society A,707,1,1,4659.32
Carpet  Area,Immediate Possession,Electronic City,5 BHK,Society D,1503,1,0,7552.0
Plot  Area,Ready To Move,Marathahalli,4 Bedroom,Society A,1354,2,1,5753.78
Plot  Area,Ready To Move,Jayanagar,5 Bedroom,Society B,1735,2,3,9430.38
Plot  Area,Immediate Possession,Indira Nagar,3 BHK,Society B,1079,2,2,7054.73
Super built-up  Area,Immediate Possession,Whitefield,5 Bedroom,Society E,1872,5,3,12202.7
Carpet  Area,Immediate Possession,BTM Layout,3 BHK,Society D,1234,5,0,9368.83
Built-up  Area,Ready To Move,BTM Layout,5 BHK,Society C,1089,4,3,6767.67
Super built-up  Area,Under Construction,Indira Nagar,1 BHK,Society D,1127,3,2,7767.7
Super built-up  Area,Immediate Possession,BTM Layout,3 BHK,Society B,922,5,0,6428.59
Plot  Area,Immediate Possession,Marathahalli,2 BHK,Society C,1432,4,0,7897.71
Built-up  Area,Under Construction,Jayanagar,1 Bedroom,Society D,1233,1,0,10133.71
Carpet  Area,Ready To Move,BTM Layout,1 BHK,Society C,1184,4,2,8136.45
Super built-up  Area,Ready To Move,HSR Layout,5 Bedroom,Society D,1944,1,1,14477.21
Built-up  Area,Under Construction,BTM Layout,3 BHK,Society A,897,3,1,6637.42
Carpet  Area,Immediate Possession,Whitefield,4 Bedroom,Society E,1260,4,3,5545.16
Built-up  Area,Immediate Possession,HSR Layout,4 Bedroom,Society C,1380,2,0,6958.36
Plot  Area,Under Construction,BTM Layout,4 BHK,Society E,1225,5,0,8204.9
Plot  Area,Ready To Move,HSR Layout,1 BHK,Society C,611,3,3,4661.77
Built-up  Area,Under Construction,Marathahalli,1 BHK,Society D,1023,5,1,6168.4
Carpet  Area,Immediate Possession,Jayanagar,1 BHK,Society E,713,4,3,4229.01
Built-up  Area,Immediate Possession,Marathahalli,3 Bedroom,Society C,1566,4,3,8231.28
Plot  Area,Immediate Possession,Indira Nagar,3 Bedroom,Society C,1635,4,2,11099.74
Carpet  Area,Immediate Possession,Electronic City,2 BHK,Society B,1278,5,3,6829.62
Carpet  Area,Under Construction,Koramangala,1 Bedroom,Society B,1193,4,1,12111.12
Carpet  Area,Immediate Possession,Marathahalli,4 BHK,Society C,1384,5,1,7724.67
Built-up  Area,Immediate Possession,Electronic City,3 Bedroom,Society E,1598,5,3,7699.22
Super built-up  Area,Ready To Move,Marathahalli,2 Bedroom,Society B,718,5,1,4062.16
Carpet  Area,Under Construction,Koramangala,4 Bedroom,Society A,1455,5,1,11724.66
Plot  Area,Ready To Move,Jayanagar,1 BHK,Society D,623,2,3,4022.03
Plot  Area,Immediate Possession,BTM Layout,3 BHK,Society B,1785,2,1,11846.16
Super built-up  Area,Immediate Possession,BTM Layout,5 BHK,Society A,1334,3,0,7201.79
Super built-up  Area,Ready To Move,BTM Layout,4 Bedroom,Society C,1675,5,3,9051.48
Plot  Area,Under Construction,BTM Layout,5 Bedroom,Society D,1701,1,2,10986.46
Carpet  Area,Ready To Move,Marathahalli,1 Bedroom,Society C,689,3,0,2605.02
Built-up  Area,Under Construction,Jayanagar,1 Bedroom,Society B,1101,2,2,6417.5
Built-up  Area,Immediate Possession,Indira Nagar,2 Bedroom,Society A,904,4,0,6588.01
Built-up  Area,Ready To Move,BTM Layout,2 Bedroom,Society A,934,4,1,4257.58
Super built-up  Area,Ready To Move,Indira Nagar,2 BHK,Society A,1174,2,1,6779.89
Super built-up  Area,Ready To Move,Marathahalli,1 Bedroom,Society E,1099,4,3,5618.93
Plot  Area,Under Construction,BTM Layout,2 Bedroom,Society C,1232,4,0,5339.17
Carpet  Area,Immediate Possession,Koramangala,3 Bedroom,Society A,970,2,1,8306.84
Plot  Area,Under Construction,Jayanagar,1 BHK,Society A,803,1,2,3975.69
Built-up  Area,Under Construction,HSR Layout,5 Bedroom,Society C,1497,4,0,12257.1
Plot  Area,Under Construction,BTM Layout,5 Bedroom,Society B,1275,2,1,8981.9
Super built-up  Area,Under Construction,Whitefield,4 Bedroom,Society E,1269,1,2,8095.54
Carpet  Area,Immediate Possession,HSR Layout,4 BHK,Society E,1656,5,1,10890.25
Super built-up  Area,Ready To Move,HSR Layout,2 BHK,Society B,805,4,2,5475.21
Built-up  Area,Ready To Move,Electronic City,4 BHK,Society E,1349,2,3,5986.94
Super built-up  Area,Immediate Possession,Jayanagar,3 Bedroom,Society E,1660,2,0,14650.97
Carpet  Area,Under Construction,BTM Layout,3 Bedroom,Society A,1077,1,3,8079.68
Super built-up  Area,Ready To Move,BTM Layout,1 Bedroom,Society A,1508,5,3,10697.18
Plot  Area,Ready To Move,Marathahalli,1 Bedroom,Society A,1258,2,0,6496.52
Carpet  Area,Under Construction,Marathahalli,4 Bedroom,Society E,1838,3,0,10802.96
Built-up  Area,Immediate Possession,Jayanagar,1 BHK,Society A,926,2,1,5240.73
Super built-up  Area,Under Construction,Electronic City,1 Bedroom,Society D,1145,4,1,5842.14
Super built-up  Area,Ready To Move,Electronic City,1 BHK,Society D,711,5,3,2504.78
Carpet  Area,Ready To Move,HSR Layout,2 Bedroom,Society C,1218,2,2,6121.78
Built-up  Area,Ready To Move,Indira Nagar,5 Bedroom,Society E,1941,5,3,11432.14
Built-up  Area,Under Construction,Whitefield,2 Bedroom,Society B,1307,5,1,8226.31
Plot  Area,Under Construction,Jayanagar,3 BHK,Society B,1727,4,0,12384.59
Plot  Area,Immediate Possession,Electronic City,4 BHK,Society C,1715,1,0,5855.59
Plot  Area,Immediate Possession,BTM Layout,5 Bedroom,Society B,1222,4,3,9254.05
Plot  Area,Immediate Possession,Koramangala,4 BHK,Society E,1868,5,3,17266.45
Built-up  Area,Ready To Move,Electronic City,4 Bedroom,Society A,1413,1,1,7951.29
Plot  Area,Immediate Possession,Jayanagar,2 BHK,Society D,1084,1,3,9796.94
Super built-up  Area,Under Construction,BTM Layout,2 Bedroom,Society E,722,1,2,4115.08
Super built-up  Area,Under Construction,HSR Layout,3 Bedroom,Society E,989,4,3,6030.49
Super built-up  Area,Ready To Move,Jayanagar,2 Bedroom,Society A,1367,4,3,11446.17
Carpet  Area,Immediate Possession,Indira Nagar,2 Bedroom,Society B,1544,4,1,15047.55
Plot  Area,Ready To Move,Jayanagar,5 BHK,Society D,1091,5,2,6769.44
Super built-up  Area,Immediate Possession,Whitefield,4 Bedroom,Society B,1361,4,3,6784.39
Super built-up  Area,Immediate Possession,Whitefield,5 Bedroom,Society C,1092,1,3,5391.75
Plot  Area,Ready To Move,Jayanagar,1 Bedroom,Society A,1125,4,3,6864.93
Carpet  Area,Under Construction,Marathahalli,2 Bedroom,Society B,872,1,2,5314.92
Built-up  Area,Ready To Move,Electronic City,5 Bedroom,Society E,1245,3,3,4670.27
Super built-up  Area,Ready To Move,Marathahalli,2 Bedroom,Society C,836,4,2,3904.53
Super built-up  Area,Immediate Possession,HSR Layout,1 BHK,Society E,950,1,1,6720.43
Built-up  Area,Immediate Possession,Electronic City,2 BHK,Society D,1024,5,3,5394.92
Super built-up  Area,Ready To Move,Koramangala,2 Bedroom,Society E,1345,5,1,9414.15
Super built-up  Area,Ready To Move,Jayanagar,5 BHK,Society D,1338,1,2,6588.81
Super built-up  Area,Ready To Move,Whitefield,3 BHK,Society B,1795,5,2,10972.06
Built-up  Area,Ready To Move,HSR Layout,5 BHK,Society A,1563,1,2,7869.36
Built-up  Area,Immediate Possession,Koramangala,3 BHK,Society E,1179,3,2,9665.5
Built-up  Area,Under Construction,Indira Nagar,3 BHK,Society C,819,4,0,4838.49
Built-up  Area,Under Construction,HSR Layout,2 BHK,Society B,1153,3,1,7874.08
Plot  Area,Under Construction,Marathahalli,3 Bedroom,Society A,855,5,0,3972.21
Carpet  Area,Under Construction,Whitefield,5 BHK,Society A,1195,2,3,7226.03
Carpet  Area,Immediate Possession,Jayanagar,3 BHK,Society C,891,4,1,4562.03
Super built-up  Area,Ready To Move,Jayanagar,4 Bedroom,Society E,1240,3,3,9343.65
Plot  Area,Immediate Possession,Electronic City,2 BHK,Society B,1224,2,3,5670.84
Super built-up  Area,Immediate Possession,Jayanagar,5 Bedroom,Society B,1914,5,1,13747.27
Super built-up  Area,Under Construction,Indira Nagar,3 Bedroom,Society D,1592,5,0,15199.41
Plot  Area,Under Construction,Electronic City,1 BHK,Society E,1166,4,1,4721.91
Super built-up  Area,Under Construction,Whitefield,5 Bedroom,Society E,1914,2,1,12709.76
Super built-up  Area,Ready To Move,Koramangala,4 Bedroom,Society C,1434,4,1,12955.08
Built-up  Area,Under Construction,Koramangala,3 BHK,Society C,1786,5,3,15866.01
Built-up  Area,Ready To Move,Electronic City,3 BHK,Society C,1565,3,1,6241.36
Super built-up  Area,Ready To Move,Indira Nagar,3 Bedroom,Society D,1207,3,3,6498.44
Built-up  Area,Under Construction,BTM Layout,4 Bedroom,Society E,1830,5,0,12418.95
Super built-up  Area,Ready To Move,Electronic City,5 BHK,Society C,1539,2,0,5032.26
Plot  Area,Under Construction,Marathahalli,4 BHK,Society E,964,2,2,5175.94
Carpet  Area,Under Construction,Indira Nagar,1 Bedroom,Society B,1276,4,3,9466.0
Carpet  Area,Immediate Possession,Indira Nagar,4 Bedroom,Society E,1207,4,3,9011.74
Carpet  Area,Ready To Move,Marathahalli,4 Bedroom,Society A,1556,2,0,8602.03
Super built-up  Area,Ready To Move,Koramangala,5 Bedroom,Society D,1983,4,1,17118.18
Plot  Area,Immediate Possession,Jayanagar,5 Bedroom,Society A,1696,4,2,13409.83
Super built-up  Area,Under Construction,Jayanagar,1 Bedroom,Society E,1524,5,2,9364.85
Built-up  Area,Immediate Possession,Indira Nagar,4 BHK,Society D,1174,3,0,9756.07
Carpet  Area,Under Construction,HSR Layout,2 Bedroom,Society D,1032,3,3,5930.32
Built-up  Area,Immediate Possession,Jayanagar,5 BHK,Society E,1486,5,3,11176.72
Plot  Area,Immediate Possession,Indira Nagar,3 BHK,Society B,1679,4,0,13361.66
Plot  Area,Immediate Possession,Whitefield,1 Bedroom,Society D,823,5,2,3469.95
Plot  Area,Under Construction,Electronic City,4 BHK,Society C,1500,1,0,6975.1
Built-up  Area,Under Construction,Electronic City,2 BHK,Society A,710,4,1,3240.73
Built-up  Area,Under Construction,Whitefield,4 Bedroom,Society A,1315,1,0,6732.32
Carpet  Area,Under Construction,Koramangala,3 Bedroom,Society D,986,4,3,6722.86
Plot  Area,Ready To Move,Jayanagar,2 BHK,Society A,979,5,3,5736.62
Plot  Area,Immediate Possession,Marathahalli,5 Bedroom,Society B,1608,5,1,6416.77
Super built-up  Area,Under Construction,BTM Layout,2 BHK,Society C,1261,1,3,9820.42
Super built-up  Area,Ready To Move,HSR Layout,3 Bedroom,Society D,1562,3,3,10372.93
Super built-up  Area,Under Construction,Whitefield,3 Bedroom,Society B,1116,4,3,7040.06
Plot  Area,Under Construction,Koramangala,2 BHK,Society E,1324,5,0,9994.85
Plot  Area,Ready To Move,BTM Layout,2 BHK,Society C,885,5,3,4258.84
Super built-up  Area,Ready To Move,Jayanagar,2 BHK,Society D,922,2,2,5389.39
Super built-up  Area,Ready To Move,BTM Layout,3 BHK,Society A,1439,1,0,7618.82
Carpet  Area,Under Construction,BTM Layout,2 Bedroom,Society D,905,5,1,4861.01
Built-up  Area,Under Construction,Jayanagar,5 Bedroom,Society D,1037,1,1,9257.15
Plot  Area,Immediate Possession,Electronic City,4 Bedroom,Society E,1075,2,3,4367.31
Super built-up  Area,Ready To Move,HSR Layout,1 Bedroom,Society D,1172,3,2,9697.2
Carpet  Area,Ready To Move,Marathahalli,1 BHK,Society C,1521,1,1,7155.5
Super built-up  Area,Immediate Possession,Indira Nagar,1 BHK,Society C,1598,1,3,9212.41
Plot  Area,Under Construction,Marathahalli,5 Bedroom,Society E,1091,1,3,4166.48
Carpet  Area,Ready To Move,Marathahalli,2 Bedroom,Society E,1121,1,1,6334.77
Carpet  Area,Immediate Possession,Marathahalli,1 BHK,Society C,1516,3,2,7776.05
Built-up  Area,Ready To Move,Marathahalli,1 BHK,Society B,1303,2,3,5260.65
Plot  Area,Immediate Possession,Jayanagar,1 Bedroom,Society E,1345,2,0,9156.42
Carpet  Area,Under Construction,Indira Nagar,4 Bedroom,Society A,942,1,2,7710.86
Built-up  Area,Under Construction,Indira Nagar,1 BHK,Society B,1252,5,0,8381.74
Super built-up  Area,Immediate Possession,Koramangala,1 BHK,Society E,698,3,1,4238.94
Plot  Area,Under Construction,Koramangala,1 Bedroom,Society E,1186,3,1,7954.22
Plot  Area,Immediate Possession,Whitefield,5 Bedroom,Society A,1476,5,1,9734.09
Built-up  Area,Ready To Move,BTM Layout,5 BHK,Society C,1704,5,1,9136.99
Super built-up  Area,Ready To Move,Indira Nagar,5 BHK,Society C,1439,4,1,12138.73
Carpet  Area,Immediate Possession,Indira Nagar,2 BHK,Society D,1146,1,3,9358.01
Carpet  Area,Immediate Possession,Jayanagar,2 BHK,Society E,1297,4,2,8564.33
Plot  Area,Immediate Possession,BTM Layout,5 Bedroom,Society E,1939,1,2,13340.11
Super built-up  Area,Ready To Move,Marathahalli,1 Bedroom,Society B,1214,3,3,5206.25
Plot  Area,Under Construction,Jayanagar,5 BHK,Society C,1174,2,0,9900.63
Built-up  Area,Immediate Possession,Whitefield,1 Bedroom,Society D,640,1,0,4027.87
Super built-up  Area,Ready To Move,BTM Layout,5 BHK,Society A,1413,5,3,7517.6
Super built-up  Area,Under Construction,Electronic City,2 Bedroom,Society C,1128,5,2,5470.04
Plot  Area,Immediate Possession,Marathahalli,4 Bedroom,Society B,1527,1,0,6361.57
Super built-up  Area,Under Construction,Jayanagar,2 BHK,Society E,794,2,1,4512.78
Built-up  Area,Ready To Move,BTM Layout,5 Bedroom,Society C,1110,3,1,5076.79
Carpet  Area,Immediate Possession,Indira Nagar,4 Bedroom,Society E,959,1,2,5572.61
Plot  Area,Under Construction,Marathahalli,2 BHK,Society E,1039,3,0,5630.65
Plot  Area,Ready To Move,Jayanagar,5 Bedroom,Society B,1367,5,0,8391.04
Plot  Area,Ready To Move,Marathahalli,5 Bedroom,Society A,1817,2,2,10599.25
Carpet  Area,Immediate Possession,BTM Layout,4 Bedroom,Society E,966,3,1,4462.16
Plot  Area,Immediate Possession,Indira Nagar,5 Bedroom,Society E,1301,3,0,11525.38
Built-up  Area,Immediate Possession,Marathahalli,4 Bedroom,Society C,1050,4,1,6426.44
Super built-up  Area,Immediate Possession,Electronic City,4 Bedroom,Society B,1768,5,3,9884.92
Super built-up  Area,Immediate Possession,Marathahalli,3 Bedroom,Society A,1310,2,0,4916.76
Built-up  Area,Ready To Move,BTM Layout,3 Bedroom,Society A,1733,5,3,11981.45
Super built-up  Area,Under Construction,Electronic City,1 Bedroom,Society A,1444,2,0,7398.2
Carpet  Area,Immediate Possession,Marathahalli,4 Bedroom,Society D,1807,3,1,7726.98
Super built-up  Area,Under Construction,Whitefield,4 BHK,Society C,1236,3,3,7954.28
Plot  Area,Under Construction,Jayanagar,5 BHK,Society D,1981,1,3,12708.41
Built-up  Area,Immediate Possession,Jayanagar,2 Bedroom,Society D,795,1,1,4438.95
Carpet  Area,Under Construction,Electronic City,4 BHK,Society B,1226,4,2,5440.84
Carpet  Area,Immediate Possession,Electronic City,3 Bedroom,Society D,1396,4,2,4877.48
Super built-up  Area,Ready To Move,BTM Layout,1 BHK,Society D,962,1,0,4257.68
Plot  Area,Ready To Move,Koramangala,3 BHK,Society C,1192,2,1,8937.49
Built-up  Area,Under Construction,HSR Layout,5 Bedroom,Society A,1658,3,0,11922.48
Super built-up  Area,Under Construction,Jayanagar,3 Bedroom,Society B,943,4,0,5990.62
Plot  Area,Ready To Move,Whitefield,3 Bedroom,Society E,1406,3,3,5550.26
Plot  Area,Ready To Move,Whitefield,1 BHK,Society A,907,1,2,5240.29
Super built-up  Area,Immediate Possession,Marathahalli,5 BHK,Society B,1062,2,2,6856.47
Plot  Area,Ready To Move,Jayanagar,4 Bedroom,Society D,1439,4,3,7849.55
Built-up  Area,Ready To Move,Jayanagar,2 Bedroom,Society A,1163,4,3,6284.26
Carpet  Area,Immediate Possession,Indira Nagar,2 BHK,Society A,1016,2,2,7106.14
Plot  Area,Immediate Possession,Whitefield,3 Bedroom,Society A,1680,1,3,8548.99
Plot  Area,Under Construction,HSR Layout,2 BHK,Society E,1669,4,2,13604.5
Plot  Area,Immediate Possession,BTM Layout,4 Bedroom,Society C,1521,1,0,9801.43
Carpet  Area,Immediate Possession,Whitefield,2 Bedroom,Society C,1359,3,0,5959.27
Carpet  Area,Ready To Move,Jayanagar,3 BHK,Society D,1796,3,3,14122.38
Built-up  Area,Under Construction,Marathahalli,1 Bedroom,Society C,1064,1,2,5255.1
Built-up  Area,Immediate Possession,Whitefield,4 Bedroom,Society D,1343,5,3,6291.08
Plot  Area,Ready To Move,Electronic City,3 Bedroom,Society D,1631,2,2,7171.02
Built-up  Area,Ready To Move,Whitefield,4 BHK,Society E,1414,2,2,9576.48
Carpet  Area,Under Construction,Marathahalli,5 Bedroom,Society B,1640,1,0,6781.43
Plot  Area,Under Construction,Jayanagar,1 BHK,Society A,754,4,3,5953.18
Carpet  Area,Immediate Possession,Marathahalli,3 Bedroom,Society E,1180,2,2,6361.72
Carpet  Area,Immediate Possession,Marathahalli,4 BHK,Society A,1714,1,0,8573.93
Super built-up  Area,Immediate Possession,HSR Layout,2 BHK,Society A,1293,2,2,9630.25
Super built-up  Area,Immediate Possession,Marathahalli,5 BHK,Society C,1586,4,1,8428.72
Plot  Area,Immediate Possession,Jayanagar,4 Bedroom,Society D,1154,1,1,6161.74
Plot  Area,Under Construction,Whitefield,5 Bedroom,Society E,1100,3,2,5332.85
Plot  Area,Under Construction,Koramangala,5 Bedroom,Society E,1110,4,1,7918.46
Plot  Area,Under Construction,Koramangala,2 BHK,Society C,1484,5,0,10020.75
Super built-up  Area,Ready To Move,Marathahalli,5 Bedroom,Society C,1560,2,3,5838.94
Built-up  Area,Immediate Possession,Jayanagar,2 Bedroom,Society C,1139,2,3,7695.75
Plot  Area,Ready To Move,Koramangala,5 Bedroom,Society D,1416,1,1,14436.14
Plot  Area,Under Construction,Koramangala,3 Bedroom,Society D,814,3,0,5467.76
Super built-up  Area,Immediate Possession,Jayanagar,2 BHK,Society E,1451,5,1,8816.51
Built-up  Area,Ready To Move,Electronic City,3 BHK,Society B,1186,4,0,6432.54
Carpet  Area,Immediate Possession,Whitefield,4 Bedroom,Society A,1562,2,2,8347.07
Built-up  Area,Immediate Possession,Marathahalli,5 BHK,Society A,1606,1,0,6848.24
Plot  Area,Ready To Move,Marathahalli,1 Bedroom,Society E,1497,1,0,7094.61
Carpet  Area,Ready To Move,Jayanagar,4 BHK,Society B,936,5,3,4999.37
Plot  Area,Ready To Move,Electronic City,1 Bedroom,Society B,628,2,2,3588.41
Plot  Area,Immediate Possession,Koramangala,5 Bedroom,Society A,1903,4,1,19123.86
Super built-up  Area,Under Construction,Marathahalli,4 Bedroom,Society A,1046,1,1,4897.67
Built-up  Area,Ready To Move,BTM Layout,3 BHK,Society C,1583,2,0,11891.2
Plot  Area,Under Construction,Koramangala,5 BHK,Society C,1365,3,1,8895.03
Plot  Area,Ready To Move,BTM Layout,2 BHK,Society A,1466,4,2,8050.27
Built-up  Area,Under Construction,Indira Nagar,2 BHK,Society D,825,1,0,4730.21
